60,500,0.9,0.15,186
100,500,0.9,0.15,142
60,300,0.9,0.15,60
100,300,0.9,0.15,79
60,500,0.7,0.15,83
100,500,0.7,0.15,112
60,300,0.7,0.15,46
100,300,0.7,0.15,74
60,500,0.9,0.05,69
100,500,0.9,0.05,115
60,300,0.9,0.05,47
100,300,0.9,0.05,70
60,500,0.7,0.05,70
100,500,0.7,0.05,107
60,300,0.7,0.05,44
100,300,0.7,0.05,66
60,500,0.9,0.15,48
100,500,0.9,0.15,75
60,300,0.9,0.15,32
100,300,0.9,0.15,53
60,500,0.7,0.15,47
100,500,0.7,0.15,74
60,300,0.7,0.15,30
100,300,0.7,0.15,47
60,500,0.9,0.05,44
100,500,0.9,0.05,72
60,300,0.9,0.05,30
100,300,0.9,0.05,61
60,500,0.7,0.05,53
100,500,0.7,0.05,68
60,300,0.7,0.05,31
100,300,0.7,0.05,42
60,500,0.9,0.15,117
100,500,0.9,0.15,150
60,300,0.9,0.15,64
100,300,0.9,0.15,96
60,500,0.7,0.15,93
100,500,0.7,0.15,142
60,300,0.7,0.15,64
100,300,0.7,0.15,93
60,500,0.9,0.05,94
100,500,0.9,0.05,144
60,300,0.9,0.05,63
100,300,0.9,0.05,94
60,500,0.7,0.05,92
100,500,0.7,0.05,140
60,300,0.7,0.05,58
100,300,0.7,0.05,92
60,500,0.9,0.15,78
100,500,0.9,0.15,120
60,300,0.9,0.15,51
100,300,0.9,0.15,76
60,500,0.7,0.15,73
100,500,0.7,0.15,119
60,300,0.7,0.15,52
100,300,0.7,0.15,75
60,500,0.9,0.05,76
100,500,0.9,0.05,113
60,300,0.9,0.05,49
100,300,0.9,0.05,80
60,500,0.7,0.05,75
100,500,0.7,0.05,109
60,300,0.7,0.05,51
100,300,0.7,0.05,86
60,500,0.9,0.15,72
100,500,0.9,0.15,112
60,300,0.9,0.15,44
100,300,0.9,0.15,68
60,500,0.7,0.15,69
100,500,0.7,0.15,111
60,300,0.7,0.15,45
100,300,0.7,0.15,71
60,500,0.9,0.05,69
100,500,0.9,0.05,108
60,300,0.9,0.05,58
100,300,0.9,0.05,69
60,500,0.7,0.05,70
100,500,0.7,0.05,106
60,300,0.7,0.05,43
100,300,0.7,0.05,62
60,500,0.9,0.15,102
100,500,0.9,0.15,204
60,300,0.9,0.15,85
100,300,0.9,0.15,98
60,500,0.7,0.15,90
100,500,0.7,0.15,134
60,300,0.7,0.15,62
100,300,0.7,0.15,90
60,500,0.9,0.05,96
100,500,0.9,0.05,142
60,300,0.9,0.05,58
100,300,0.9,0.05,91
60,500,0.7,0.05,83
100,500,0.7,0.05,128
60,300,0.7,0.05,62
100,300,0.7,0.05,87
60,500,0.9,0.15,79
100,500,0.9,0.15,118
60,300,0.9,0.15,53
100,300,0.9,0.15,82
60,500,0.7,0.15,74
100,500,0.7,0.15,115
60,300,0.7,0.15,49
100,300,0.7,0.15,81
60,500,0.9,0.05,73
100,500,0.9,0.05,115
60,300,0.9,0.05,54
100,300,0.9,0.05,75
60,500,0.7,0.05,70
100,500,0.7,0.05,114
60,300,0.7,0.05,53
100,300,0.7,0.05,83
60,500,0.9,0.15,77
100,500,0.9,0.15,123
60,300,0.9,0.15,52
100,300,0.9,0.15,77
60,500,0.7,0.15,74
100,500,0.7,0.15,121
60,300,0.7,0.15,49
100,300,0.7,0.15,80
60,500,0.9,0.05,96
100,500,0.9,0.05,118
60,300,0.9,0.05,52
100,300,0.9,0.05,75
60,500,0.7,0.05,70
100,500,0.7,0.05,110
60,300,0.7,0.05,49
100,300,0.7,0.05,73
60,500,0.9,0.15,57
100,500,0.9,0.15,94
60,300,0.9,0.15,38
100,300,0.9,0.15,61
60,500,0.7,0.15,59
100,500,0.7,0.15,102
60,300,0.7,0.15,48
100,300,0.7,0.15,60
60,500,0.9,0.05,56
100,500,0.9,0.05,93
60,300,0.9,0.05,36
100,300,0.9,0.05,58
60,500,0.7,0.05,61
100,500,0.7,0.05,89
60,300,0.7,0.05,39
100,300,0.7,0.05,56
60,500,0.9,0.15,81
100,500,0.9,0.15,124
60,300,0.9,0.15,55
100,300,0.9,0.15,83
60,500,0.7,0.15,81
100,500,0.7,0.15,120
60,300,0.7,0.15,61
100,300,0.7,0.15,91
60,500,0.9,0.05,80
100,500,0.9,0.05,121
60,300,0.9,0.05,55
100,300,0.9,0.05,80
60,500,0.7,0.05,75
100,500,0.7,0.05,117
60,300,0.7,0.05,52
100,300,0.7,0.05,78
