60,500,0.9,0.15,182
100,500,0.9,0.15,170
60,300,0.9,0.15,65
100,300,0.9,0.15,84
60,500,0.7,0.15,81
100,500,0.7,0.15,125
60,300,0.7,0.15,50
100,300,0.7,0.15,76
60,500,0.9,0.05,75
100,500,0.9,0.05,121
60,300,0.9,0.05,49
100,300,0.9,0.05,73
60,500,0.7,0.05,79
100,500,0.7,0.05,112
60,300,0.7,0.05,46
100,300,0.7,0.05,69
60,500,0.9,0.15,48
100,500,0.9,0.15,77
60,300,0.9,0.15,31
100,300,0.9,0.15,50
60,500,0.7,0.15,48
100,500,0.7,0.15,72
60,300,0.7,0.15,30
100,300,0.7,0.15,45
60,500,0.9,0.05,48
100,500,0.9,0.05,72
60,300,0.9,0.05,30
100,300,0.9,0.05,47
60,500,0.7,0.05,44
100,500,0.7,0.05,70
60,300,0.7,0.05,28
100,300,0.7,0.05,49
60,500,0.9,0.15,101
100,500,0.9,0.15,155
60,300,0.9,0.15,67
100,300,0.9,0.15,97
60,500,0.7,0.15,98
100,500,0.7,0.15,143
60,300,0.7,0.15,65
100,300,0.7,0.15,100
60,500,0.9,0.05,95
100,500,0.9,0.05,151
60,300,0.9,0.05,73
100,300,0.9,0.05,97
60,500,0.7,0.05,90
100,500,0.7,0.05,137
60,300,0.7,0.05,62
100,300,0.7,0.05,93
60,500,0.9,0.15,79
100,500,0.9,0.15,122
60,300,0.9,0.15,56
100,300,0.9,0.15,78
60,500,0.7,0.15,79
100,500,0.7,0.15,121
60,300,0.7,0.15,58
100,300,0.7,0.15,77
60,500,0.9,0.05,76
100,500,0.9,0.05,118
60,300,0.9,0.05,54
100,300,0.9,0.05,75
60,500,0.7,0.05,79
100,500,0.7,0.05,121
60,300,0.7,0.05,56
100,300,0.7,0.05,77
60,500,0.9,0.15,71
100,500,0.9,0.15,125
60,300,0.9,0.15,43
100,300,0.9,0.15,79
60,500,0.7,0.15,67
100,500,0.7,0.15,109
60,300,0.7,0.15,47
100,300,0.7,0.15,68
60,500,0.9,0.05,67
100,500,0.9,0.05,108
60,300,0.9,0.05,41
100,300,0.9,0.05,72
60,500,0.7,0.05,65
100,500,0.7,0.05,105
60,300,0.7,0.05,46
100,300,0.7,0.05,66
60,500,0.9,0.15,102
100,500,0.9,0.15,170
60,300,0.9,0.15,80
100,300,0.9,0.15,96
60,500,0.7,0.15,95
100,500,0.7,0.15,143
60,300,0.7,0.15,67
100,300,0.7,0.15,93
60,500,0.9,0.05,91
100,500,0.9,0.05,138
60,300,0.9,0.05,67
100,300,0.9,0.05,96
60,500,0.7,0.05,91
100,500,0.7,0.05,133
60,300,0.7,0.05,79
100,300,0.7,0.05,91
60,500,0.9,0.15,85
100,500,0.9,0.15,125
60,300,0.9,0.15,55
100,300,0.9,0.15,80
60,500,0.7,0.15,77
100,500,0.7,0.15,116
60,300,0.7,0.15,48
100,300,0.7,0.15,78
60,500,0.9,0.05,75
100,500,0.9,0.05,117
60,300,0.9,0.05,50
100,300,0.9,0.05,75
60,500,0.7,0.05,74
100,500,0.7,0.05,114
60,300,0.7,0.05,48
100,300,0.7,0.05,69
60,500,0.9,0.15,81
100,500,0.9,0.15,113
60,300,0.9,0.15,66
100,300,0.9,0.15,81
60,500,0.7,0.15,78
100,500,0.7,0.15,133
60,300,0.7,0.15,52
100,300,0.7,0.15,79
60,500,0.9,0.05,78
100,500,0.9,0.05,125
60,300,0.9,0.05,54
100,300,0.9,0.05,77
60,500,0.7,0.05,76
100,500,0.7,0.05,110
60,300,0.7,0.05,55
100,300,0.7,0.05,76
60,500,0.9,0.15,60
100,500,0.9,0.15,97
60,300,0.9,0.15,44
100,300,0.9,0.15,60
60,500,0.7,0.15,59
100,500,0.7,0.15,92
60,300,0.7,0.15,39
100,300,0.7,0.15,58
60,500,0.9,0.05,57
100,500,0.9,0.05,89
60,300,0.9,0.05,40
100,300,0.9,0.05,58
60,500,0.7,0.05,56
100,500,0.7,0.05,92
60,300,0.7,0.05,38
100,300,0.7,0.05,69
60,500,0.9,0.15,94
100,500,0.9,0.15,133
60,300,0.9,0.15,58
100,300,0.9,0.15,90
60,500,0.7,0.15,84
100,500,0.7,0.15,124
60,300,0.7,0.15,54
100,300,0.7,0.15,87
60,500,0.9,0.05,87
100,500,0.9,0.05,116
60,300,0.9,0.05,57
100,300,0.9,0.05,86
60,500,0.7,0.05,82
100,500,0.7,0.05,118
60,300,0.7,0.05,70
100,300,0.7,0.05,81
